Sell Report
Sell ID,Item Name,Type,Quantity,Sell Price,Sell Date
16,DISPRIN TAB,Tablets,6,0.57,2023-01-15 05:58:56
17,DISPRIN TAB,Tablets,5,0.57,2023-01-15 06:07:55
18,AMOXIL CAP 500MG,Capsules,8,10.0,2023-01-15 07:58:02
19,DISPRIN TAB,Tablets,8,0.57,2023-01-15 07:58:02
20,AZOUR CAP 500,Capsules,9,40.0,2023-01-15 07:58:02
21,RISEK CAP 20,Capsules,4,15.0,2023-01-15 08:02:32
22,AZOMAX  CAP 250,Capsules,9,50.0,2023-01-15 08:02:32
23,PANADOL DROPS 15ML,Drops,7,20.0,2023-01-15 08:02:32
Purchase Report
Purchase ID,Item Name,Type,Quantity,Purchase Price,Sell Price,Purchase Date
30,DISPRIN TAB,Tablets,500,0.45,0.57,2023-01-15 05:58:18
31,RISEK CAP 20,Capsules,500,13.21,15.0,2023-01-15 06:38:05
32,RISEK CAP 40,Capsules,500,18.5,20.0,2023-01-15 06:38:57
33,RISEK INSTA SAC 20,Sachete,500,11.0,15.0,2023-01-15 07:23:58
34,RISEK INSTA SAC 40,Sachete,500,20.0,15.0,2023-01-15 07:24:30
35,AZOMAX  CAP 250,Capsules,500,40.0,50.0,2023-01-15 07:26:12
36,AZOMAX  CAP 500,Capsules,500,50.0,70.0,2023-01-15 07:28:57
37,AZOUR CAP 500,Capsules,500,28.0,40.0,2023-01-15 07:30:53
38,RULING CAP,Capsules,500,14.0,20.0,2023-01-15 07:34:02
39,PANADOL DROPS 15ML,Drops,500,18.0,20.0,2023-01-15 07:35:31
40,PANADOL DROPS 60ML,Suspension,500,24.0,30.0,2023-01-15 07:36:12
41,PANADOL TAB,Tablets,500,0.57,1.0,2023-01-15 07:37:03
42,AMOXIL CAP 500MG,Capsules,500,8.0,10.0,2023-01-15 07:39:05
43,AMOXIL DROPS 10ML,Drops,500,20.0,25.0,2023-01-15 07:40:06
44,AMOXIL INJECTION 500MG,Injection,500,54.0,60.0,2023-01-15 07:40:49
45,AMOXIL SUSPENSION 5ML,Suspension,500,70.0,75.0,2023-01-15 07:42:39
46,LINCOCIN INJECTION 300MG,Injection,500,45.0,50.0,2023-01-15 07:44:34
47,LINCOCIN INJECTION 600MG,Injection,500,25.0,30.0,2023-01-15 07:45:55
48,ARINAC SYRUP 90ML,Syrup,500,30.0,40.0,2023-01-15 07:47:14
49,ARINAC FORTE TAB,Tablets,500,7.4,10.0,2023-01-15 07:48:15
50,RIGIX ORAL,Oral Soln,500,45.0,50.0,2023-01-15 07:49:19
51,RIGIX TAB,Tablets,500,19.4,22.0,2023-01-15 07:49:53
52,DICLORAN GET,Gel,500,59.2,65.0,2023-01-15 07:51:30
53,DICLORAN GEL,Gel,500,59.2,65.0,2023-01-15 07:52:04
54,DICLORAN INJECTION,Injection,500,14.2,20.0,2023-01-15 07:52:48
55,DICLORAN TAB,Tablets,500,4.8,8.0,2023-01-15 07:53:54
56,GLOCOPHAGE TAB,Tablets,500,42.8,50.0,2023-01-15 07:55:01
Transaction Report
Transaction ID,Customer Name,Transactions Cost,Received,Transaction Date
18,Ahmad,0.45,2.8499999999999996,2023-01-15 06:07:56
19,AHMAD,36.45,444.56,2023-01-15 07:58:02
20,ahmad,71.21000000000001,650.0,2023-01-15 08:02:32
      
Profit loss Report
Total Cost of medicine,108.11000000000001
Total Money Received,1097.41
Net Profit,989.3000000000001
