Sell Report
Sell ID,Item Name,Type,Quantity,Sell Price,Sell Date
24,AZOMAX  CAP 500,Capsules,4,70.0,2023-01-18 19:48:42
25,RISEK INSTA SAC 40,Sachete,8,15.0,2023-01-18 19:52:32
26,AZOMAX  CAP 250,Capsules,90,50.0,2023-01-18 19:54:10
27,PANADOL DROPS 15ML,Drops,2,20.0,2023-01-18 19:55:43
28,RULING CAP,Capsules,99,20.0,2023-01-18 19:58:08
29,AZOMAX  CAP 500,Capsules,8,560.0,2023-01-18 20:03:43
30,ARCEVA TAB,Tablets,9,72.0,2023-01-18 20:04:54
31,GLOCOPHAGE TAB,Tablets,9,450.0,2023-01-18 20:04:54
32,PANADOL DROPS 15ML,Drops,90,1800.0,2023-01-18 20:04:54
33,RISEK CAP 20,Capsules,4,60.0,2023-01-18 20:12:20
34,RISEK CAP 40,Capsules,4,80.0,2023-01-18 20:15:32
35,AZOMAX  CAP 500,Capsules,2,140.0,2023-01-18 20:15:32
36,RULING CAP,Capsules,7,140.0,2023-01-18 20:19:56
37,GLOCOPHAGE TAB,Tablets,8,400.0,2023-01-18 20:19:56
38,RISEK CAP 20,Capsules,4,60.0,2023-01-18 21:05:54
39,RULING CAP,Capsules,9,180.0,2023-01-18 21:05:54
Purchase Report
Purchase ID,Item Name,Type,Quantity,Purchase Price,Sell Price,Purchase Date
61,RULING CAP,Capsules,900,14.0,20.0,2023-01-18 20:27:12
62,DICLORAN GEL,Gel,900,59.2,65.0,2023-01-18 20:35:50
63,RITHMO TAB,Tablets,500,15.0,18.0,2023-01-19 06:01:36
64,RISEK CAP 40,Capsules,4,18.5,20.0,2023-01-19 06:01:52
65,DICLORAN GEL,Gel,2,70.0,90.0,2023-01-19 06:03:56
66,AVOREK TAB,Tablets,500,3.0,5.0,2023-01-19 06:07:27
67,EFFIFLOX TAB 250MG,Tablets,500,10.0,15.0,2023-01-19 06:10:05
68,EFFIFLOX TAB 500MG,Tablets,500,18.0,25.0,2023-01-19 06:10:41
69,CALAMOX INJECTION,Injection,500,40.0,50.0,2023-01-19 06:12:38
70,CALAMOX SUSPENSION,Suspension,500,60.0,73.0,2023-01-19 06:13:42
71,CALAMOX TAB,Tablets,500,25.83,30.0,2023-01-19 06:15:46
72,NEUCEF CAP,Capsules,500,16.33,23.0,2023-01-19 06:18:29
73,NEUCEF SUSPENSION,Suspension,500,93.0,105.0,2023-01-19 06:23:53
74,MYOLAX INJECTION,Injection,500,74.0,82.0,2023-01-19 06:26:25
75,ACIREG 20MG,Capsules,500,11.2,15.0,2023-01-19 06:28:45
76,ACIREG 40MG,Capsules,500,18.6,25.0,2023-01-19 06:29:14
77,MUCAIN SUSPENSION,Suspension,500,30.0,40.0,2023-01-19 06:32:17
78,ENTAMIZOLE TAB,Tablets,500,24.0,32.0,2023-01-19 06:34:14
79,ENTAMIZOLE SUSPENSION,Suspension,500,24.0,32.0,2023-01-19 06:34:57
80,CIPESTA TAB 250MG,Tablets,500,128.0,130.0,2023-01-19 06:37:35
81,CIPESTA TAB 500MG,Tablets,500,228.0,26.0,2023-01-19 06:38:08
82,CIPESTA SUSPENSION,Suspension,500,83.4,88.0,2023-01-19 06:39:08
83,CIPESTA IV-INJECTION,Injection,500,130.0,160.0,2023-01-19 06:40:05
84,AMCLAV DROPS,Drops,500,58.0,61.0,2023-01-19 06:44:29
85,AMCLAV SUSPENSION,Suspension,500,51.0,55.0,2023-01-19 06:45:03
86,AMCLAV TAB,Tablets,500,52.0,60.0,2023-01-19 06:45:38
87,LILAC SYRUP,Syrup,500,135.0,142.0,2023-01-19 06:47:23
Transaction Report
Transaction ID,Customer Name,Transactions Cost,Received,Transaction Date
21,Ahmad,50.0,280.0,2023-01-18 19:48:44
22,ahmad,20.0,120.0,2023-01-18 19:52:36
23,ahmad,60.0,4500.0,2023-01-18 19:54:12
24,as,78.0,40.0,2023-01-18 19:55:44
25,cas,92.0,1980.0,2023-01-18 19:58:10
26,conn,50.0,560.0,2023-01-18 20:03:45
27,ahmad,116.6,2322.0,2023-01-18 20:04:56
28,cost,13.21,60.0,2023-01-18 20:12:25
29,ahmad,68.5,220.0,2023-01-18 20:15:34
30,Ahmad,440.4,540.0,2023-01-18 20:19:58
31,ahmad,178.84,240.0,2023-01-18 21:05:55
      
Profit loss Report
Total Cost of medicine,1167.55
Total Money Received,10862.0
Net Profit,9694.45
