Sell Report
Sell ID,Item Name,Type,Quantity,Sell Price,Sell Date
1,med1,type1,9,200.0,2022-12-17 13:17:43
2,med2,type2,2,400.0,2022-12-17 13:17:43
3,med2,type2,4,400.0,2022-12-18 11:32:42
4,med1,type1,9,200.0,2022-12-18 11:32:42
5,med1,type1,5,200.0,2022-12-19 08:50:32
6,med2,type2,6,400.0,2022-12-19 08:50:32
7,type,typw,9,100.0,2022-12-19 08:50:32
8,med1,type1,5,200.0,2022-12-20 07:24:40
9,med9,type6,4,80.0,2022-12-20 07:24:40
10,med9,type6,9,80.0,2022-12-20 07:24:40
11,med11,type12,5,20.0,2022-12-20 07:24:40
12,med8,type1,4,30.0,2023-01-03 17:00:19
13,med2,type2,3,400.0,2023-01-03 17:00:19
14,med5,type5,3,80.0,2023-01-03 17:00:19
15,PANADOL,Tablets,5,2.0,2023-01-14 17:13:12
16,DISPRIN TAB,Tablets,6,0.57,2023-01-15 05:58:56
17,DISPRIN TAB,Tablets,5,0.57,2023-01-15 06:07:55
18,AMOXIL CAP 500MG,Capsules,8,10.0,2023-01-15 07:58:02
19,DISPRIN TAB,Tablets,8,0.57,2023-01-15 07:58:02
20,AZOUR CAP 500,Capsules,9,40.0,2023-01-15 07:58:02
21,RISEK CAP 20,Capsules,4,15.0,2023-01-15 08:02:32
22,AZOMAX  CAP 250,Capsules,9,50.0,2023-01-15 08:02:32
23,PANADOL DROPS 15ML,Drops,7,20.0,2023-01-15 08:02:32
24,AZOMAX  CAP 500,Capsules,4,70.0,2023-01-18 19:48:42
25,RISEK INSTA SAC 40,Sachete,8,15.0,2023-01-18 19:52:32
26,AZOMAX  CAP 250,Capsules,90,50.0,2023-01-18 19:54:10
27,PANADOL DROPS 15ML,Drops,2,20.0,2023-01-18 19:55:43
28,RULING CAP,Capsules,99,20.0,2023-01-18 19:58:08
29,AZOMAX  CAP 500,Capsules,8,560.0,2023-01-18 20:03:43
30,ARCEVA TAB,Tablets,9,72.0,2023-01-18 20:04:54
31,GLOCOPHAGE TAB,Tablets,9,450.0,2023-01-18 20:04:54
32,PANADOL DROPS 15ML,Drops,90,1800.0,2023-01-18 20:04:54
33,RISEK CAP 20,Capsules,4,60.0,2023-01-18 20:12:20
34,RISEK CAP 40,Capsules,4,80.0,2023-01-18 20:15:32
35,AZOMAX  CAP 500,Capsules,2,140.0,2023-01-18 20:15:32
36,RULING CAP,Capsules,7,140.0,2023-01-18 20:19:56
37,GLOCOPHAGE TAB,Tablets,8,400.0,2023-01-18 20:19:56
38,RISEK CAP 20,Capsules,4,60.0,2023-01-18 21:05:54
39,RULING CAP,Capsules,9,180.0,2023-01-18 21:05:54
40,RISEK CAP 20,Capsules,4,60.0,2023-02-13 07:22:28
41,AZOMAX  CAP 500,Capsules,9,630.0,2023-02-13 07:22:28
42,AZOMAX  CAP 250,Capsules,8,400.0,2023-02-13 07:28:40
43,AZOMAX  CAP 500,Capsules,9,630.0,2023-02-13 07:28:40
44,ARINAC FORTE TAB,Tablets,100,1000.0,2023-02-14 06:39:33
45,DISPRIN TAB,Tablets,5,2.8499999999999996,2023-04-19 10:41:10
46,test,test,8,7992.0,2023-04-19 12:55:17
47,PANADOL TAB,Tablets,90,90.0,2023-04-19 12:55:17
48,RIGIX TAB,Tablets,3,66.0,2023-04-19 13:05:08
49,test,test,5,4995.0,2023-04-19 13:05:08
50,RISEK INSTA SAC 40,Sachete,8,120.0,2023-04-20 08:53:10
51,RISEK CAP 20,Capsules,10,150.0,2023-04-20 08:53:10
52,CALAMOX INJECTION,Injection,4,200.0,2023-04-20 14:32:40
53,ACIREG 20MG,Capsules,9,135.0,2023-04-20 14:32:40
54,AZOMAX  CAP 250,Capsules,9,450.0,2023-04-20 14:32:40
Purchase Report
Purchase ID,Item Name,Type,Quantity,Purchase Price,Sell Price,Purchase Date
1,med4,type1,19,12.0,123.0,2022-12-18 06:30:59
2,med9,type6,400,30.0,80.0,2022-12-20 07:07:45
3,med12,type6,400,30.0,80.0,2022-12-20 07:08:20
4,AZOMAX (250mg),Capsules,500,40.0,50.0,2023-01-14 15:40:38
5,AZOMAX (500mg),Capsules,500,40.0,50.0,2023-01-14 15:40:57
6,AZOUR (500mg),Capsules,500,40.0,50.0,2023-01-14 15:43:10
7,RISET,Capsules,500,19.0,25.0,2023-01-14 15:55:56
8,RISEK,Capsules,500,19.0,25.0,2023-01-14 15:57:08
9,RISEK,Capsules,500,19.0,25.0,2023-01-14 15:57:31
10,RISEK INSTA,Sachet,500,11.0,20.0,2023-01-14 15:58:41
11,RULING,Capsules,500,14.0,20.0,2023-01-14 16:03:31
12,PANADOL (15ml),Drops,500,18.0,20.0,2023-01-14 16:06:26
13,PANADOL (60ml),Suspension,500,24.0,30.0,2023-01-14 16:07:30
14,PANADOL,Tablets,500,1.0,2.0,2023-01-14 16:08:13
15,AMOXIL (500mg),Capsules,500,8.0,10.0,2023-01-14 16:13:30
16,AMOXIL (10ml),Drops,500,20.0,25.0,2023-01-14 16:14:27
17,AMOXIL Injection (500mg),Injection,500,54.0,60.0,2023-01-14 16:16:40
18,AMOXIL Suspension (5ml),Suspensions,500,70.0,75.0,2023-01-14 16:19:22
19,LINCOCIN Injection (300mg),Injection,500,45.0,50.0,2023-01-14 16:23:52
20,LINCOCIN Injection (600mg),Injection,500,25.0,30.0,2023-01-14 16:25:39
21,Arinac (90ml),Syrup,500,30.0,40.0,2023-01-14 16:29:07
22,ARINAC (90ml),Syrup,500,30.0,40.0,2023-01-14 16:29:44
23,ARINAC FORTE,Tablets,500,8.0,10.0,2023-01-14 16:33:05
24,RIGIX ORAL,Oral Soln,500,45.0,50.0,2023-01-14 16:38:05
25,RIGIX TAB,Tablets,500,20.0,22.0,2023-01-14 16:38:52
26,DICLORAN GEL,Gel,500,58.0,65.0,2023-01-14 16:41:52
27,DICLORAN INJ,Injection,500,15.0,20.0,2023-01-14 16:42:44
28,DICLORAN TAB,Tablets,500,4.0,8.0,2023-01-14 16:43:37
29,GLUCOPHAGE TAB,Tablets,500,43.0,50.0,2023-01-14 16:45:34
30,DISPRIN TAB,Tablets,500,0.45,0.57,2023-01-15 05:58:18
31,RISEK CAP 20,Capsules,500,13.21,15.0,2023-01-15 06:38:05
32,RISEK CAP 40,Capsules,500,18.5,20.0,2023-01-15 06:38:57
33,RISEK INSTA SAC 20,Sachete,500,11.0,15.0,2023-01-15 07:23:58
34,RISEK INSTA SAC 40,Sachete,500,20.0,15.0,2023-01-15 07:24:30
35,AZOMAX  CAP 250,Capsules,500,40.0,50.0,2023-01-15 07:26:12
36,AZOMAX  CAP 500,Capsules,500,50.0,70.0,2023-01-15 07:28:57
37,AZOUR CAP 500,Capsules,500,28.0,40.0,2023-01-15 07:30:53
38,RULING CAP,Capsules,500,14.0,20.0,2023-01-15 07:34:02
39,PANADOL DROPS 15ML,Drops,500,18.0,20.0,2023-01-15 07:35:31
40,PANADOL DROPS 60ML,Suspension,500,24.0,30.0,2023-01-15 07:36:12
41,PANADOL TAB,Tablets,500,0.57,1.0,2023-01-15 07:37:03
42,AMOXIL CAP 500MG,Capsules,500,8.0,10.0,2023-01-15 07:39:05
43,AMOXIL DROPS 10ML,Drops,500,20.0,25.0,2023-01-15 07:40:06
44,AMOXIL INJECTION 500MG,Injection,500,54.0,60.0,2023-01-15 07:40:49
45,AMOXIL SUSPENSION 5ML,Suspension,500,70.0,75.0,2023-01-15 07:42:39
46,LINCOCIN INJECTION 300MG,Injection,500,45.0,50.0,2023-01-15 07:44:34
47,LINCOCIN INJECTION 600MG,Injection,500,25.0,30.0,2023-01-15 07:45:55
